step,temperature,gamma,epsilon,group_count,row_count,normalized_kendall_distance_mean,normalized_kendall_distance_p90,spearman_rank_corr_mean,spearman_rank_corr_p90,z_advantage_corr_mean,z_advantage_corr_p90,z_advantage_sign_flip_rate_mean,z_advantage_sign_flip_rate_p90,mean_abs_z_advantage_delta_mean,mean_abs_z_advantage_delta_p90,top1_same_rate_mean,top1_same_rate_p90
1,0.1,7.5,0.05,64,1024,0.16888020833333334,0.25833333333333336,0.7858705876426294,0.9425509950512371,0.8214938181453773,0.9310813637985674,0.2255859375,0.375,0.4613779637818226,0.6431181915386414,0.28125,1.0
1,0.1,7.5,0.1,64,1024,0.16653645833333333,0.2570833333333334,0.7901746346504528,0.9425509950512371,0.8286687039570425,0.9384125334106446,0.220703125,0.375,0.45148109621901694,0.6353537815574968,0.296875,1.0
1,0.1,7.5,0.2,64,1024,0.1625,0.25416666666666665,0.7987351960148064,0.9427917164702782,0.8418087655259775,0.9498957339400829,0.2060546875,0.3125,0.43308243629131427,0.618292272336296,0.34375,1.0
1,0.1,8.0,0.0,64,1024,0.17350260416666666,0.26958333333333334,0.7781764128001502,0.9422081804593014,0.8093041720583367,0.9249210168946034,0.2275390625,0.375,0.47814441887821163,0.6590911026367182,0.28125,1.0
1,0.1,8.0,0.01,64,1024,0.17272135416666667,0.26666666666666666,0.7795383420452815,0.9422081804593014,0.8108143400578686,0.9253313996852445,0.2275390625,0.375,0.47603613797135264,0.6574497130157367,0.28125,1.0
1,0.1,8.0,0.02,64,1024,0.17194010416666666,0.26666666666666666,0.780561000172924,0.9422081804593014,0.8123081393354488,0.925956253211865,0.2275390625,0.375,0.4739621052861667,0.6557462465613827,0.28125,1.0
1,0.1,8.0,0.05,64,1024,0.16979166666666667,0.26666666666666666,0.7839543194292923,0.9410450321675903,0.8166919630905306,0.9280674694750447,0.224609375,0.375,0.46785573421659177,0.6502697760051035,0.28125,1.0
1,0.1,8.0,0.1,64,1024,0.16861979166666666,0.25833333333333336,0.7867321974288712,0.9425509950512371,0.8236802282927158,0.934250145328792,0.224609375,0.375,0.45823999427370943,0.6409096431123764,0.28125,1.0
1,0.1,8.0,0.2,64,1024,0.16419270833333333,0.2570833333333334,0.7944838425824509,0.9427917164702782,0.8365568609640953,0.9464469042215161,0.21484375,0.3562500000000002,0.44037075333209835,0.6265117836579943,0.328125,1.0
1,0.5,0.0,0.0,64,1024,0.0,0.0,1.0,1.0000000000000002,1.0,1.0000000000000002,0.0,0.0,3.3729443956546765e-16,5.22621368271462e-16,1.0,1.0
1,0.5,0.0,0.01,64,1024,0.0,0.0,1.0,1.0000000000000002,1.0,1.0000000000000002,0.0,0.0,3.3729443956546765e-16,5.22621368271462e-16,1.0,1.0
1,0.5,0.0,0.02,64,1024,0.0,0.0,1.0,1.0000000000000002,1.0,1.0000000000000002,0.0,0.0,3.3729443956546765e-16,5.22621368271462e-16,1.0,1.0
1,0.5,0.0,0.05,64,1024,0.0,0.0,1.0,1.0000000000000002,1.0,1.0000000000000002,0.0,0.0,3.3729443956546765e-16,5.22621368271462e-16,1.0,1.0
1,0.5,0.0,0.1,64,1024,0.0,0.0,1.0,1.0000000000000002,1.0,1.0000000000000002,0.0,0.0,3.3729443956546765e-16,5.22621368271462e-16,1.0,1.0
1,0.5,0.0,0.2,64,1024,0.0,0.0,1.0,1.0000000000000002,1.0,1.0000000000000002,0.0,0.0,3.3729443956546765e-16,5.22621368271462e-16,1.0,1.0
1,0.5,0.5,0.0,64,1024,0.0796875,0.11541666666666668,0.9303107304522827,0.9804262640676329,0.9714091841337718,0.9884164743660969,0.1142578125,0.1875,0.1847190240387444,0.25095608536299824,0.765625,1.0
1,0.5,0.5,0.01,64,1024,0.07434895833333334,0.10833333333333334,0.9378619232467386,0.987246482985807,0.9762394787032068,0.9899206383931592,0.1044921875,0.1875,0.16785934702358468,0.22551901831944754,0.765625,1.0
1,0.5,0.5,0.02,64,1024,0.06979166666666667,0.10833333333333334,0.9432061344490604,0.9880381874411727,0.979252809153744,0.9910731337939431,0.091796875,0.1875,0.15647300082525673,0.20837822356409147,0.78125,1.0
1,0.5,0.5,0.05,64,1024,0.06276041666666667,0.10708333333333335,0.950351126861917,0.9896219872598945,0.984842961594232,0.9933111211715374,0.080078125,0.1875,0.13301012802981255,0.17642922570929068,0.8125,1.0
1,0.5,0.5,0.1,64,1024,0.05234375,0.09166666666666666,0.9612035022912128,0.9944834627504456,0.9897156654526467,0.9955392939405908,0.0625,0.1875,0.10893904277403813,0.14596574175231114,0.828125,1.0
1,0.5,0.5,0.2,64,1024,0.04010416666666666,0.075,0.9741642625296184,0.9960645596426255,0.9941268186967234,0.9976144348127078,0.0498046875,0.125,0.08174953570703312,0.11148376969512036,0.859375,1.0
